utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,svalm2,haednr,fjibmhl,top_floor,two_storey,storeys_3,lyftuhus,age_studull,bath_fixtures,fjbilsk,lodpflm,innig_factor,nybygging,fjarmalastofnunselur,hverfi,gata
3/8/2018,31000,30964,1200,"64,9",0,0,0,0,"4,9","5,6",4,11,0,0,0,0,45,2,0,143,1,0,0,600,0
3/10/2018,38000,37993,1200,"66,4",0,0,0,0,"7,2","6,4",3,50,0,0,0,1,13,2,1,"67,1",1,0,0,600,106
3/11/2018,37400,37393,1200,"93,5",0,0,0,"21,8","4,9","5,6",2,11,0,0,0,0,45,2,0,239,1,0,0,600,0
3/11/2018,36900,36887,1200,"76,4",0,0,0,0,0,"2,8",2,3,0,0,0,0,45,2,0,193,"0,93",0,0,600,0
3/11/2018,20900,20900,1200,"41,8","41,8",0,0,0,0,0,0,6,0,0,0,0,45,2,0,"49,6","1,04",0,0,600,0
3/10/2018,61000,60961,1200,"122,8",0,0,0,0,"10,6","24,9",1,8,0,0,0,1,10,3,1,87,1,0,0,600,18
3/16/2018,27900,27888,1200,"52,6",0,0,0,0,"6,3","4,9",3,18,0,0,0,0,45,2,0,178,1,0,0,600,0
3/16/2018,55000,54930,1314,"112,6",0,0,0,0,0,0,1,27,0,0,0,1,23,2,0,214,1,0,0,600,0
3/18/2018,39500,39486,1200,"95,9",0,0,0,0,"12,1","3,8",3,3,0,0,0,0,45,2,0,204,1,0,0,600,0
3/15/2018,36500,36406,1200,"93,5",0,0,0,0,"5,6","5,6",4,11,0,0,0,0,45,2,0,203,1,0,0,600,0
3/15/2018,30500,30461,1200,"57,6",0,0,0,"23,7","5,6","5,5",4,21,0,0,0,0,45,2,0,176,1,0,0,600,0
3/18/2018,37500,37463,1200,"87,5",0,0,0,"23,7","4,9","3,6",3,20,0,0,0,0,45,2,0,300,1,0,0,600,0
3/17/2018,58000,57499,1200,122,0,0,0,0,"14,1","13,5",2,72,0,0,0,1,3,2,1,"79,5",1,0,0,600,18
3/22/2018,35900,35852,1200,"80,2",0,0,0,0,0,"6,6",4,47,0,0,0,1,12,2,1,81,1,0,0,600,0
3/29/2018,45500,45490,1200,"93,4",0,0,0,0,"8,1",0,1,35,0,0,0,1,9,3,1,"67,5",1,0,0,600,18
3/29/2018,36200,36009,1200,"77,5",0,0,0,0,"12,5","4,2",2,6,0,0,0,0,45,2,0,201,1,0,0,600,0
3/30/2018,39700,39646,1200,"89,5",0,0,0,"26,5","12,4","8,3",2,12,0,0,0,0,45,2,0,351,"0,96",0,0,600,0
3/30/2018,29500,29481,1200,"62,6",0,0,0,0,"7,6","6,6",3,47,0,0,0,1,12,2,1,76,1,0,0,600,0
4/8/2018,32100,32079,1200,"54,3",0,0,0,"23,7","2,9","3,6",3,20,0,0,0,0,45,2,0,210,1,0,0,600,0
4/7/2018,31950,31950,1200,"84,9",0,0,0,0,0,0,1,3,0,0,0,0,45,2,0,247,1,0,0,600,0
4/7/2018,53300,52630,1200,"124,5",0,0,0,"19,7",0,"2,4",2,3,0,0,0,0,45,3,0,213,"1,22",0,0,600,0
3/20/2018,34500,33993,1200,"61,2",0,0,0,0,0,4,2,40,0,0,0,1,26,2,0,103,1,0,0,600,0
3/29/2018,25000,24866,1200,"53,6",0,0,0,0,"5,7",6,2,10,0,0,0,0,45,2,0,"75,3",1,0,0,600,0
4/8/2018,24000,23993,1200,"44,3",0,0,0,0,0,3,3,18,0,0,0,0,40,2,0,135,"1,04",0,0,600,0
3/29/2018,15900,15786,1200,"26,3","26,3",0,0,0,0,0,0,7,0,0,0,0,45,2,0,41,1,0,0,600,0
4/14/2018,44900,44867,1200,"109,6",0,0,0,"23,8","5,8","9,7",2,10,0,0,0,0,45,3,0,"166,6",1,0,0,600,0
4/19/2018,52500,52472,1200,"151,8",0,0,0,"21,4",0,"13,4",2,3,0,1,0,0,45,2,0,248,"0,95",0,0,600,0
