utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
12/22/2016,65700,64869,1111,"236,3",103,0,0,"28,2",0,0,1,0,38,0,"1,126",4,0,811,"1,275","1,08","0,96",0,320,0
12/31/2016,71000,70430,1111,"151,4",0,0,0,"34,3",0,0,0,0,40,0,"1,142",3,0,503,"0,791",1,1,0,320,15
1/5/2017,66000,65988,1111,"169,2","72,8",0,0,24,0,0,1,0,40,0,"1,056",4,0,611,"0,961","0,95","0,96",0,320,0
1/1/2017,85250,84942,1111,"274,2","135,4",0,0,"46,5",0,0,1,0,40,0,"1,046",3,0,452,"0,711","1,02","0,83",0,320,15
1/12/2017,33600,33578,1126,"81,9","81,9",0,0,0,"4,8",0,0,0,40,0,1,2,0,194,"0,305",1,1,0,320,0
1/21/2017,44300,44293,1126,"140,1","22,8",0,0,0,0,0,1,0,40,0,1,2,0,419,"0,659","0,87","0,91",0,320,0
1/29/2017,57000,56440,1111,157,27,0,0,28,0,0,1,0,40,0,"1,482",3,0,654,"1,028","0,89",1,0,320,0
2/16/2017,46500,46386,1126,"127,5",0,0,0,"22,2",0,0,0,0,34,0,1,3,0,315,"0,495","1,07","1,06",0,320,63
2/18/2017,39700,39679,1126,"97,3","97,3",0,0,28,0,0,0,0,40,0,1,2,0,"303,5","0,477","1,15",1,0,320,0
2/22/2017,56500,56465,1111,"156,5",0,0,0,"48,7",0,0,0,0,40,0,"1,185",3,0,886,"1,393","0,87","0,96",0,320,0
3/3/2017,81000,80768,1111,"166,3","39,7",0,0,"36,5",0,0,1,0,40,0,"1,461",2,0,900,"1,415","0,96","0,93",0,320,0
3/15/2017,58000,57863,1111,"203,8",10,"86,9",0,36,0,0,0,1,40,1,"1,335",4,0,1201,"1,888","0,83","0,96",0,320,63
3/16/2017,75000,73529,1121,"219,9",93,0,0,30,0,0,1,0,40,0,1,4,0,414,"0,651","1,04","0,93",0,320,0
3/18/2017,85200,83761,1111,"274,8","104,8",72,0,28,0,0,0,1,33,0,"1,066",5,0,593,"0,932","0,93","0,94",0,320,15
3/16/2017,52000,51973,1126,"127,5",0,0,0,"41,2",0,0,0,0,40,0,1,3,0,"275,3","0,433","1,04","0,96",0,320,0
3/19/2017,58400,57191,1125,"173,8",33,0,0,40,0,0,0,1,40,0,1,3,0,337,"0,53","1,07","0,95",0,320,0
3/18/2017,52900,52871,1121,"126,6",0,0,0,0,0,0,1,0,40,1,1,2,0,355,"0,558",1,1,0,320,15
3/18/2017,63000,63000,1121,"191,6","62,8",0,0,"25,5",0,0,0,1,40,0,1,3,0,216,"0,34","1,12","0,99",0,320,15
3/23/2017,87000,86664,1111,"218,8","77,7",0,0,"52,5",0,0,1,0,40,0,"1,043",5,0,678,"1,066",1,1,0,320,15
3/23/2017,24500,24500,1126,"59,1","59,1",0,0,0,0,0,0,0,40,0,1,2,0,112,"0,176","1,11",1,0,320,0
3/25/2017,76500,76022,1111,"217,7",0,0,0,"43,5",0,0,1,0,40,0,"1,122",5,0,820,"1,289","0,99","1,06",0,320,0
4/2/2017,65000,64936,1111,"189,1","46,5",0,0,0,0,0,1,0,40,0,"1,116",3,0,678,"1,066","1,02",1,0,320,0
4/1/2017,64500,64005,1111,"191,7","63,7",0,0,"26,6",0,0,1,0,40,0,"1,196",3,0,726,"1,142","0,81",1,0,320,0
4/9/2017,89500,88750,1111,"175,4","39,4",0,0,34,0,0,1,0,40,0,"1,124",4,0,638,"1,003","0,89","0,93",0,320,0
4/12/2017,62500,61843,1111,117,0,0,0,57,0,0,0,0,40,1,"1,029",2,0,727,"1,143","1,15",1,0,320,0
5/4/2017,46500,46005,1126,"127,5",0,0,0,"22,2",0,0,0,0,34,0,1,3,0,329,"0,517","1,07","0,94",0,320,63
5/13/2017,57000,56930,1125,"121,6",0,0,0,0,"60,8",0,1,0,40,0,1,3,0,600,"0,943","0,96",1,1,320,0
